Time / s,Power / W
544,-1975.916267794544
545,-4173.268430186423
546,-4191.983050475826
547,-2726.5838926873785
548,-1716.369957171162
549,-1183.7877961843647
550,-911.124832171164
551,-368.37787570730416
552,-261.76492290856953
553,-252.84985599327464
554,118.1253624661831
555,475.1239734391661
556,834.5204069096757
557,1303.9964187076105
558,1827.9500468106992
559,3415.022705487444
560,3668.914922518004
561,1450.6911603604633
562,867.7007625552508
563,-997.8685104214289
564,-6509.204393213688
565,-6844.388985880107
566,-3091.5758353909464
567,-0.0
568,0.0
569,0.0
570,0.0
571,0.0
572,0.0
573,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.0
583,0.0
584,0.0
585,0.0
586,0.0
587,0.0
588,0.0
589,0.0
590,0.0
591,0.0
592,0.0
593,0.0
594,0.0
595,0.0
596,0.0
597,0.0
598,0.0
599,0.0
600,0.0
601,192.48635164228014
602,649.1416498842593
603,2538.0537942386827
604,6314.55658670315
605,11134.763690805517
606,16374.6271095679
607,20098.315176504624
608,21187.227085536215
609,21875.248135802463
610,23960.04609495504
611,25149.835147312246
612,20330.623717116287
613,10971.668956597236
614,4065.106775403435
615,2376.7031979333237
616,2367.5886683432504
617,1357.6682886183476
618,-637.1697152301564
619,-2915.049794714977
620,-3518.601001736115
621,-1630.8391068506128
622,1110.2492551440293
623,3231.1041121565927
624,5389.281160991574
625,6721.042765544038
626,5892.499992353011
627,4049.5481443377453
628,3103.0460867245856
629,3418.5467725956464
630,5326.912762233759
631,8302.323870215578
632,10483.526907600297
633,12139.760778742266
634,12895.082428771822
635,11874.136259259274
636,8906.589786827462
637,5359.319675449623
638,3541.761376409842
639,2804.3935175587867
640,2783.789944032457
641,5298.908030997557
642,10109.061786844122
643,11890.108487204223
644,8728.654847736636
645,6889.362469457288
646,7344.799189498065
647,7420.059665140144
648,6718.02800520834
649,4802.03761897241
650,892.0476793171837
651,-5695.415942691642
652,-10441.59936741731
653,-10856.215790149658
